Company,Symbol,Exchange,Country,Sector,MarketCap,CIK_Number
Agilent Technologies Inc,a,NYSE,USA,Healthcare,30060984320,109087
Alcoa Corporation,aa,NYSE,USA,Basic Materials,2791649024,167514
Altaba Inc,aaba,NASDAQ,USA,Other,10198000640,101100








