symbol,company,insider,insider_position,trade_type,trade_shares,trade_price,trade_value,trade_date,now
CLIR,Clearsign Technologies Corp,Meline Susanne,,Buy,5000.0,2.0,10000.0,2020-08-24 00:00:00,2020-08-28 00:33:40.372187
CLIR,Clearsign Technologies Corp,Pate Bruce Alan,,Buy,35000.0,2.0,70000.0,2020-08-24 00:00:00,2020-08-28 00:33:40.372233
CNNE,"Cannae Holdings, Inc.",Massey Richard N  ,Chief Executive Officer,Buy,5000.0,36.95,184750.0,2020-08-24 00:00:00,2020-08-28 00:33:40.372288
CSBB,Csb Bancorp Inc /oh,Steiner Eddie L  ,President & CEO,Buy,645.0,31.9,20575.0,2020-08-24 00:00:00,2020-08-28 00:33:40.372342
CSBB,Csb Bancorp Inc /oh,Steiner Eddie L  ,President & CEO,Buy,500.0,32.0,16000.0,2020-08-26 00:00:00,2020-08-28 00:33:40.372388
CWGL,"Crimson Wine Group, Ltd",Steinberg Joseph S,,Buy,3740.0,5.8,21692.0,2020-08-24 00:00:00,2020-08-28 00:33:40.372447
CWGL,"Crimson Wine Group, Ltd",Cumming John D.,,Buy,3740.0,5.8,21692.0,2020-08-24 00:00:00,2020-08-28 00:33:40.372494
CWH,"Camping World Holdings, Inc.","Ml Rv Group, Llc  ",10% Owner,Buy,16775.0,29.82,500146.0,2020-08-25 00:00:00,2020-08-28 00:33:40.372551
EPD,Enterprise Products Partners L.p.,Bacon Graham W.  ,Executive Vice President & COO,Buy,10000.0,17.5,175000.0,2020-08-26 00:00:00,2020-08-28 00:33:40.372610
EPR,Epr Properties,Shanks Virginia E  ,Director,Buy,1600.0,31.0,49592.0,2020-08-25 00:00:00,2020-08-28 00:33:40.372666
ESSA,"Essa Bancorp, Inc.",Gray Peter A  ,EVP and Chief Banking Officer,Buy,1000.0,13.0,13000.0,2020-08-24 00:00:00,2020-08-28 00:33:40.372721
EYPT,"Eyepoint Pharmaceuticals, Inc.",Elston George  ,Chief Financial Officer,Buy,10000.0,0.61,6110.0,2020-08-24 00:00:00,2020-08-28 00:33:40.372775
FRD,Friedman Industries Inc,Taylor Mike J  ,President / CEO / Director,Buy,5000.0,5.49,27450.0,2020-08-26 00:00:00,2020-08-28 00:33:40.372834
FRD,Friedman Industries Inc,Taylor Mike J  ,President / CEO / Director,Buy,5000.0,5.41,27050.0,2020-08-25 00:00:00,2020-08-28 00:33:40.372882
FRD,Friedman Industries Inc,Taylor Mike J  ,President / CEO / Director,Buy,5000.0,5.32,26600.0,2020-08-24 00:00:00,2020-08-28 00:33:40.372929
FREE,"Whole Earth Brands, Inc.",Rusie Andrew  ,Chief Financial Officer,Buy,1270.0,7.84,9963.0,2020-08-26 00:00:00,2020-08-28 00:33:40.372983
FRPH,"Frp Holdings, Inc.",Baker John D Ii  ,Chief Executive Officer,Buy,300.0,40.32,12096.0,2020-08-26 00:00:00,2020-08-28 00:33:40.373038
FRPH,"Frp Holdings, Inc.",Baker John D Ii  ,Chief Executive Officer,Buy,3400.0,40.61,138074.0,2020-08-25 00:00:00,2020-08-28 00:33:40.373084
GCI,"Gannett Co., Inc.",Tarica Laurence,,Buy,441.0,1.62,714.0,2020-08-25 00:00:00,2020-08-28 00:33:40.373138
GRX,Gabelli Healthcare & Wellnessrx Trust,Jonas Jeffrey J. Jr  ,Director,Buy,2000.0,10.76,21520.0,2020-08-24 00:00:00,2020-08-28 00:33:40.373186
HPTO,Hopto Inc.,Skeels Jonathon R  ,Chief Executive Officer,Buy,80642.0,0.4,32256.0,2020-08-24 00:00:00,2020-08-28 00:33:40.373238
HWKN,Hawkins Inc,Lange Douglas A.  ,Vice President - Operations,Buy,800.0,49.95,39956.0,2020-08-21 00:00:00,2020-08-28 00:33:40.584916
KFS,Kingsway Financial Services Inc,"Stilwell Value Partners Vii, L.p.",,Buy,13000.0,2.72,35347.0,2020-08-24 00:00:00,2020-08-28 00:33:40.585034
KFS,Kingsway Financial Services Inc,"Stilwell Value Partners Vii, L.p.",,Buy,20779.0,2.75,57142.0,2020-08-25 00:00:00,2020-08-28 00:33:40.585091
KMPH,"Kempharm, Inc",Clifton R. Laduane  ,"CFO, Secretary & Treasurer",Buy,1000.0,0.84,839.0,2020-08-26 00:00:00,2020-08-28 00:33:40.585150
KW,"Kennedy-wilson Holdings, Inc.",Mcmorrow William J  ,CHIEF EXECUTIVE OFFICER,Buy,75000.0,14.07,1055250.0,2020-08-26 00:00:00,2020-08-28 00:33:40.585210
LSYN,Liberated Syndication Inc.,Heyse Richard  ,Chief Financial Officer,Buy,7550.0,3.43,25873.0,2020-08-26 00:00:00,2020-08-28 00:33:40.585290
LSYN,Liberated Syndication Inc.,Heyse Richard  ,Chief Financial Officer,Buy,3785.0,3.49,13198.0,2020-08-25 00:00:00,2020-08-28 00:33:40.585341
LSYN,Liberated Syndication Inc.,Heyse Richard  ,Chief Financial Officer,Buy,3115.0,3.48,10846.0,2020-08-24 00:00:00,2020-08-28 00:33:40.585391
MCBC,Macatawa Bank Corp,Doyle Timothy J.  ,Chief Commercial Banking Ofcr.,Buy,3100.0,7.53,23343.0,2020-08-26 00:00:00,2020-08-28 00:33:40.585449
MRBK,Meridian Corp,Holland Robert T.  ,Director,Buy,900.0,15.21,13691.0,2020-08-25 00:00:00,2020-08-28 00:33:40.585547
OXY,Occidental Petroleum Corp /de/,Klesse William R,,Buy,10000.0,13.43,134300.0,2020-08-25 00:00:00,2020-08-28 00:33:40.585658
PSTV,"Plus Therapeutics, Inc.",Lenk Robert P  ,Director,Buy,3000.0,2.49,7464.0,2020-08-25 00:00:00,2020-08-28 00:33:40.585772
PTMN,Portman Ridge Finance Corp,Duka Alexander  ,Director,Buy,10000.0,1.16,11600.0,2020-08-25 00:00:00,2020-08-28 00:33:40.585877
RCG,"Renn Fund, Inc.",Stahl Murray  ,President and CEO,Buy,675.0,1.29,874.0,2020-08-25 00:00:00,2020-08-28 00:33:40.585977
RZLT,"Rezolute, Inc.","Handok, Inc.",,Buy,125000.0,0.5,62250.0,2020-08-25 00:00:00,2020-08-28 00:33:40.586089
RZLT,"Rezolute, Inc.","Handok, Inc.",,Buy,125000.0,0.49,61625.0,2020-08-24 00:00:00,2020-08-28 00:33:40.586166
SLP,Simulations Plus Inc,Woltosz Virginia E  ,10% Owner,Buy,24000.0,58.16,1395840.0,2020-08-26 00:00:00,2020-08-28 00:33:40.586228
SPOK,"Spok Holdings, Inc",Kelly Vincent D  ,President & CEO,Buy,5000.0,10.9,54509.0,2020-08-24 00:00:00,2020-08-28 00:33:40.586289
SPOK,"Spok Holdings, Inc",Kelly Vincent D  ,President & CEO,Buy,1755.0,10.99,19290.0,2020-08-25 00:00:00,2020-08-28 00:33:40.586357
SPOK,"Spok Holdings, Inc",Oreilly Brian  ,Director,Buy,2000.0,10.95,21890.0,2020-08-25 00:00:00,2020-08-28 00:33:40.586445
